,COIL_NO,PRDSPC_ID,PNSPRC_CD,cycle,WDT_LEN,WGT_WGT,IND_CD,OUD_LEN,STL_CD,EMG_CD,고객사
233,22H120342111A,51CRV4M-S,AN13,700*Max,494.0,11189,,2011,10022,1282N,NHK / NHK SPRING PREC / NHK SPRING(THA~)
234,22H12036111,S35CM-R,AN10,725,1030.0,17940,,1788,10022,1282N,NaN
235,22H120391111A,51CRV4M-S,AN13,700*Max,562.0,11491,,1920,10022,1282N,NHK / NHK SPRING PREC / NHK SPRING(THA~)
236,22H120392111A,51CRV4M-S,AN13,700*Max,612.0,12513,,1920,10022,1282N,NHK / NHK SPRING PREC / NHK SPRING(THA~)
237,22H120411111A,51CRV4M-S,AN13,700*Max,612.0,12503,,1920,10022,1282N,NHK / NHK SPRING PREC / NHK SPRING(THA~)
238,22H120412111A,51CRV4M-S,AN13,700*Max,562.0,11482,,1920,10022,1282N,NHK / NHK SPRING PREC / NHK SPRING(THA~)
239,22H12042112,SAE1050M-R,AN11,700,1066.0,14670,,1614,10022,1282N,NaN
240,22H12042113,SAE1050M-R,AN11,700,1066.0,14730,,1616,10022,1282N,NaN
241,22H12042116,SAE1050M-R,AN11,700,1066.0,16960,,1718,10022,1282N,NaN
242,22H12043111,SAE1552M-R,AN11,700,1058.0,20790,,1887,10022,1282N,NaN
243,22H12043112,SAE1552M-R,AN11,700,1058.0,20400,,1871,10022,1282N,NaN
244,22H12043113,SAE1552M-R,AN11,700,1058.0,20200,,1862,10022,1282N,NaN
245,22H120551111A,SAE1055M-R,AN11,700,530.0,10351,,1881,10022,1282N,NaN
246,22H120551121A,SAE1055M-R,AN11,700,530.0,9584,,1818,10022,1282N,NaN
247,22H120552111A,SAE1055M-R,AN11,700,530.0,10351,,1881,10022,1282N,NaN
248,22H12060111,S50CM-S,AN10,725,1224.0,15650,,1564,10022,1282N,NaN
249,22H12070111,C67S,AN11,700,1096.0,19820,,1818,10022,1282Y,NaN
250,22H12070112,C67S,AN11,700,1096.0,19890,,1821,10022,1282Y,NaN
251,22H12070113,C67S,AN11,700,1096.0,19450,,1803,10022,1282Y,NaN
252,22H12070114,C67S,AN11,700,1096.0,19440,,1802,10022,1282Y,NaN
253,22H120731111A,SNCM220M-S,AN11,700,545.0,10582,,1876,10022,1282N,NaN
254,22H120731121A,SNCM220M-S,AN11,700,545.0,11238,,1928,10022,1282N,NaN
255,22H120732111A,SNCM220M-S,AN11,700,545.0,10582,,1876,10022,1282N,NaN
256,22H120732121A,SNCM220M-S,AN11,700,545.0,11238,,1928,10022,1282N,NaN
257,22H120801111A,SNCM220-PA,AN10,725,610.0,12091,,1894,10022,1282S,NaN
258,22H120801121A,SNCM220-PA,AN10,725,610.0,12032,,1890,10022,1282S,NaN
259,22H120802111A,SNCM220-PA,AN10,725,610.0,12091,,1894,10022,1282S,NaN
260,22H120802121A,SNCM220-PA,AN10,725,610.0,12032,,1890,10022,1282S,NaN
261,22H120863111A1A,S45CM-S,AN10,725,294.0,2934,,1370,10022,1282N,NaN
262,22H120863111A1B,S45CM-S,AN10,725,294.0,2946,,1372,10022,1282N,NaN
263,22H12093111,C80M,AN10,735,1228.0,24920,,1914,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
264,22H12094111,C80M,AN10,735,1049.0,21890,,1938,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
265,22H12095111,C80M,AN10,735,1204.0,24610,,1920,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
266,22H12112111,50CRV4M-R,AN11,700,1056.0,18790,,1805,10022,1282S,NaN
267,22H121211111A,S35CM-R,AN10,725,364.0,3622,,1368,10022,1282N,NaN
268,22H121211111B,S35CM-R,AN10,725,364.0,3622,,1368,10022,1282N,NaN
269,22H121212111A,S35CM-S,AN10,725,310.0,3085,,1368,10022,1282N,NaN
270,22H121212111B,S35CM-S,AN11,700,310.0,3085,,1368,10022,1282N,NaN
271,22H121213111A,S35CM-S,AN10,725,310.0,3085,,1368,10022,1282N,NaN
272,22H121213111B,S35CM-S,AN11,700,310.0,3085,,1368,10022,1282N,NaN
273,22H121231111AA,50CRV4M-R,AN11,700,370.0,6665,,1815,10022,1282Y,NaN
274,22H121232111A,50CRV4M-R,AN11,700,391.0,7981,,1919,10022,1282Y,NaN
275,22H121233111A,50CRV4M-R,AN11,700,391.0,7981,,1919,10022,1282Y,NaN
276,22H12136111,CK75M2,AN12,700,1200.0,22670,,1854,10022,1282Y,NaN
277,22H12136112,CK75M2,AN12,700,1200.0,22900,,1862,10022,1282Y,NaN
278,22H12136113,CK75M2,AN12,700,1200.0,11670,,1396,10022,1282Y,NaN
279,22H12137111,16MNCR5M2,AN11,700,1221.0,25100,,1925,10022,1282N,NaN
280,22H12137112,16MNCR5M2,AN11,700,1221.0,25090,,1925,10022,1282N,NaN
281,22H12138111,16MNCR5M2,AN11,700,1117.0,23210,,1934,10022,1282N,NaN
282,22H12138112,16MNCR5M2,AN11,700,1117.0,23100,,1930,10022,1282N,NaN
283,22H12138113,16MNCR5M2,AN11,700,1117.0,23240,,1936,10022,1282N,NaN
